School,Department,Number of Courses,Requirement,Department Code
"Department of Athletics, Physical Education and Recreation",Athletics and Club Sports,0,filter-ger-WAYAII,ATHLETIC
"Department of Athletics, Physical Education and Recreation",Athletics and Club Sports,0,filter-ger-WAYCE,ATHLETIC
"Department of Athletics, Physical Education and Recreation",Athletics and Club Sports,0,filter-ger-WAYEDP,ATHLETIC
"Department of Athletics, Physical Education and Recreation",Athletics and Club Sports,0,filter-ger-WAYER,ATHLETIC
"Department of Athletics, Physical Education and Recreation",Athletics and Club Sports,0,filter-ger-WAYFR,ATHLETIC
"Department of Athletics, Physical Education and Recreation",Athletics and Club Sports,0,filter-ger-WAYAQR,ATHLETIC
"Department of Athletics, Physical Education and Recreation",Athletics and Club Sports,0,filter-ger-WAYSMA,ATHLETIC
"Department of Athletics, Physical Education and Recreation",Athletics and Club Sports,0,filter-ger-WAYSI,ATHLETIC
"Department of Athletics, Physical Education and Recreation",Kinesiology,0,filter-ger-WAYAII,KIN
"Department of Athletics, Physical Education and Recreation",Kinesiology,0,filter-ger-WAYCE,KIN
"Department of Athletics, Physical Education and Recreation",Kinesiology,0,filter-ger-WAYEDP,KIN
"Department of Athletics, Physical Education and Recreation",Kinesiology,0,filter-ger-WAYER,KIN
"Department of Athletics, Physical Education and Recreation",Kinesiology,0,filter-ger-WAYFR,KIN
"Department of Athletics, Physical Education and Recreation",Kinesiology,0,filter-ger-WAYAQR,KIN
"Department of Athletics, Physical Education and Recreation",Kinesiology,0,filter-ger-WAYSMA,KIN
"Department of Athletics, Physical Education and Recreation",Kinesiology,0,filter-ger-WAYSI,KIN
"Department of Athletics, Physical Education and Recreation",Outdoor Education,0,filter-ger-WAYAII,OUTDOOR
"Department of Athletics, Physical Education and Recreation",Outdoor Education,0,filter-ger-WAYCE,OUTDOOR
"Department of Athletics, Physical Education and Recreation",Outdoor Education,0,filter-ger-WAYEDP,OUTDOOR
"Department of Athletics, Physical Education and Recreation",Outdoor Education,0,filter-ger-WAYER,OUTDOOR
"Department of Athletics, Physical Education and Recreation",Outdoor Education,0,filter-ger-WAYFR,OUTDOOR
"Department of Athletics, Physical Education and Recreation",Outdoor Education,0,filter-ger-WAYAQR,OUTDOOR
"Department of Athletics, Physical Education and Recreation",Outdoor Education,0,filter-ger-WAYSMA,OUTDOOR
"Department of Athletics, Physical Education and Recreation",Outdoor Education,0,filter-ger-WAYSI,OUTDOOR
"Department of Athletics, Physical Education and Recreation",Physical Wellness,0,filter-ger-WAYAII,PHYSWELL
"Department of Athletics, Physical Education and Recreation",Physical Wellness,0,filter-ger-WAYCE,PHYSWELL
