,year,subject,code,title,description,gers,repeatable,grading_basis,units_min,units_max,objectives,final_exam,sections,tags,attributes,course_id,active,offer_num,academic_group,academic_org,academic_career,max_units_repeat,max_times_repeat
0,2017-2018,ATHLETIC,1,Thriving in Athletics: Health and Wellness Concepts,"Develops the understanding, self-awareness, confidence, and skills necessary for students to serve as a resource for their peers in the areas of building resilience, promoting wellbeing, and supporting emotional balance. Examines personal values, identity, signature strengths, self-care and stress management practices, signs and symptoms of common mental health concerns, and barriers for care-seeking in the student population. Develops skills for enhancing personal well-being, communication, connecting students with existing resources, and promoting a culture of support, health and wellness.",,False,Satisfactory/No Credit,2,2,,False,ACT 01 (id: 35317),,NQTR::SPR,220267,True,1,MED,MEDDPT,UG,2,1
1,2017-2018,ATHLETIC,11,Athletic Team Manager,For student managers of intercollegiate teams. Limit 1 credit per quarter with a maximum of 8 credits able to be applied towards graduation. Prerequisite: consent of respective varsity team head coach. May repeat for credit.,,True,Satisfactory/No Credit,1,1,,False,"ACT 30 (id: 35055), ACT 01 (id: 29590), ACT 13 (id: 31733), ACT 01 (id: 31730), ACT 14 (id: 31734), ACT 11 (id: 31731), ACT 12 (id: 31732), ACT 17 (id: 31737), ACT 18 (id: 31738), ACT 15 (id: 31735), ACT 16 (id: 31736), ACT 21 (id: 31741), ACT 22 (id: 31742), ACT 19 (id: 31739), ACT 20 (id: 31740), ACT 25 (id: 31745), ACT 26 (id: 31746), ACT 23 (id: 31743), ACT 24 (id: 31744), ACT 29 (id: 31749), ACT 28 (id: 31748), ACT 27 (id: 31747), ACT 02 (id: 31722), ACT 04 (id: 31724), ACT 03 (id: 31723), ACT 06 (id: 31726), ACT 05 (id: 31725), ACT 08 (id: 31728), ACT 07 (id: 31727), ACT 10 (id: 31730), ACT 09 (id: 31729), ACT 01 (id: 31112), ACT 03 (id: 33970), ACT 02 (id: 33971), ACT 04 (id: 33972), ACT 05 (id: 33973), ACT 06 (id: 33974), ACT 07 (id: 33975), ACT 08 (id: 33976), ACT 09 (id: 33977), ACT 10 (id: 33978), ACT 11 (id: 33979), ACT 12 (id: 33980), ACT 13 (id: 33981), ACT 14 (id: 33982), ACT 16 (id: 33984), ACT 15 (id: 33983), ACT 18 (id: 33986), ACT 17 (id: 33985), ACT 20 (id: 33988), ACT 19 (id: 33987), ACT 22 (id: 33990), ACT 21 (id: 33989), ACT 24 (id: 33992), ACT 23 (id: 33991), ACT 26 (id: 33994), ACT 25 (id: 33993), ACT 28 (id: 33996), ACT 27 (id: 33995), ACT 29 (id: 33997), ACT 12 (id: 33491), ACT 13 (id: 33492), ACT 10 (id: 33489), ACT 11 (id: 33490), ACT 16 (id: 33495), ACT 17 (id: 33496), ACT 14 (id: 33493), ACT 15 (id: 33494), ACT 20 (id: 33499), ACT 21 (id: 33500), ACT 18 (id: 33497), ACT 19 (id: 33498), ACT 24 (id: 33503), ACT 25 (id: 33504), ACT 22 (id: 33501), ACT 23 (id: 33502), ACT 29 (id: 33508), ACT 28 (id: 33507), ACT 27 (id: 33506), ACT 26 (id: 33505), ACT 07 (id: 33486), ACT 06 (id: 33485), ACT 09 (id: 33488), ACT 08 (id: 33487), ACT 03 (id: 33482), ACT 02 (id: 33481), ACT 05 (id: 33484), ACT 04 (id: 33483)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",102447,True,1,MED,MEDDPT,UG,12,12
2,2017-2018,ATHLETIC,12,VARSITY - Baseball,Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 29573), ACT 01 (id: 31713), ACT 01 (id: 31098)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",102306,True,1,MED,MEDDPT,UG,30,15
3,2017-2018,ATHLETIC,13,VARSITY - Basketball (Men),Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 29574), ACT 01 (id: 31714), ACT 01 (id: 31099)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",102315,True,1,MED,MEDDPT,UG,30,15
4,2017-2018,ATHLETIC,14,VARSITY - Basketball (Women),Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 31139), ACT 01 (id: 31757), ACT 01 (id: 29619)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",201021,True,1,MED,MEDDPT,UG,30,15
5,2017-2018,ATHLETIC,15,VARSITY - Cross Country (Men),Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,ACT 01 (id: 29576),,NQTR::AUT,102341,True,1,MED,MEDDPT,UG,10,5
6,2017-2018,ATHLETIC,16,VARSITY - Cross Country (Women),Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,ACT 01 (id: 29623),,NQTR::AUT,201025,True,1,MED,MEDDPT,UG,15,5
7,2017-2018,ATHLETIC,17,VARSITY - Track and Field (Men),Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 29609), ACT 01 (id: 31748), ACT 01 (id: 31129)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",102704,True,1,MED,MEDDPT,UG,30,15
8,2017-2018,ATHLETIC,18,VARSITY - Track and Field (Women),Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 31146), ACT 01 (id: 31764), ACT 01 (id: 29627)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",201029,True,1,MED,MEDDPT,UG,30,15
9,2017-2018,ATHLETIC,19,VARSITY - Fencing (Men),Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 29579), ACT 01 (id: 31718), ACT 01 (id: 31103)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",102368,True,1,MED,MEDDPT,UG,30,15
10,2017-2018,ATHLETIC,20,VARSITY - Fencing (Women),Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 31148), ACT 01 (id: 31766), ACT 01 (id: 29630)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",201032,True,1,MED,MEDDPT,UG,30,15
11,2017-2018,ATHLETIC,21,VARSITY - Field Hockey,Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 29580), ACT 01 (id: 31719), ACT 01 (id: 33168)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",102372,True,1,MED,MEDDPT,UG,30,15
12,2017-2018,ATHLETIC,22,VARSITY - Football,Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 29581), ACT 01 (id: 31720), ACT 01 (id: 31104)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",102378,True,1,MED,MEDDPT,UG,30,15
13,2017-2018,ATHLETIC,23,VARSITY - Golf (Men),Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 29586), ACT 01 (id: 31725), ACT 01 (id: 31108)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",102395,True,1,MED,MEDDPT,UG,30,15
14,2017-2018,ATHLETIC,24,VARSITY - Golf (Women),Designed for the Varsity Athlete; conditioning; practice; game preparation; and weight training. Limit 2 credits per quarter with a maximum of 8 activity units may be applied towards graduation. Prerequisite: Must be a Varsity Athlete in the specific sport; Permission of appropriate sport administrator. May repeat for credit.,,True,Satisfactory/No Credit,1,2,,False,"ACT 01 (id: 31150), ACT 01 (id: 31768), ACT 01 (id: 29632)",,"NQTR::SPR, NQTR::WIN, NQTR::AUT",201034,True,1,MED,MEDDPT,UG,30,15
