ka,url,first_name,last_name,full_name,bio,height,birthday,age,hometown_city,hometown_state,ignore,education,medals_gold,medals_silver,medals_bronze,sport,thumbnail_url,thumbnail_alt_text,thumbnail_photo_credit
blte105a2484f91b186,/profiles/paxten-aaronson,Paxten,Aaronson,Paxten Aaronson,"<h5>Personal</h5><ul><li>Younger brother of USMNT midfielder Brendan Aaronson</li><li>Made his debut for the USMNT in January 2023</li><li>Spent his youth career with Philadelphia Union</li></ul><h5>Career Highlights</h5><ul><li>Played for US U-20, US U-23, and USMNT</li><li>Signed by the Philadelphia Union in 2020</li><li>Currently on loan to Utrecht from Eintracht Frankfurt</li></ul>","5'9""",8/26/2003,20,Medford,NJ,,,0,0,0,Soccer,https://res.cloudinary.com/usopc-prod/image/upload/v1720578254/Aaronson_Paxten_HS.jpg,"Paxten Aaronson #11 of the USA controls the ball during the U23 match against Japan at Children's Mercy Park on June 11, 2024 in Kansas City, Kansas.",Getty Images
blt36331e5b0d8c5f7d,/profiles/katelyn-abeln,Katelyn,Abeln,Katelyn Abeln,"<h5>Personal</h5><ul><li>Daughter of Joy and Jerry Abeln</li><li>Has a sister, Shelby, and brother-in-law, Avery King</li><li>Majored in public health, minored in pysychology</li></ul><h5>Career Highlights</h5><ul><li>Junior World Championships, Lima, 2021 (25m Pistol - Team - Women, 10m Air Pistol - Team - Women, 25m Pistol - Women, 10m Air Pistol - Team - Mixed, 10m Air Pistol - Women)</li></ul><h5>World Championships Experience</h5><ul><li>Most recent: 2023 – 29th (25m Pistol - Women), 30th (10m Air Pistol - Team - Mixed), 63th (10m Air Pistol - Women)</li><li>Years of participation: 10m Air Pistol - Team - Mixed 2023; 10m Air Pistol - Women 2022, 2023; 25m Pistol - Women 2022, 2023; 10m Air Pistol - Team - Women 2022; 25m Pistol - Team - Women 2022; 25m Standard Pistol - Team (Mixed) - Mixed 2022; 25m Standard Pistol - Women 2022; 50m Pistol - Team (Mixed) - Mixed 2022</li><li>Top finish: – 2022 (50m Pistol - Team (Mixed) - Mixed)</li></ul><h5>Olympic Experience</h5><ul><li>1-time Olympian;</li><ul><li>Olympic Games Paris 2024, 24th (10m Air Pistol - Women)</li></ul></ul>",,4/9/2001,23,Douglasville,GA,Ohio State University,Ohio State University,0,0,0,Shooting,https://res.cloudinary.com/usopc-prod/image/upload/v1705597918/TeamUSA%20Assets/Athlete%20Profiles/Katelyn%20Abeln%201147731/ablen_k_hero_1147731.png,Katelyn Abeln poses for a photo.,USA Shooting
blta56f2c2accc82e72,/profiles/bam-adebayo,Bam,Adebayo,Bam Adebayo,"<h5>Personal</h5><ul><li><p>Son of Marilyn Blount and John Adebayo</p></li><li>Full name is Edrice Femi Adebayo but goes by the nickname “Bam,” which was given to him at the age of one after flipping over a table while watching The Flintstones, resembling the character Bamm-Bamm Rubble</li><li><p>Averaged 18.9 points, 13.0 rebounds, 1.4 blocks, and 1.5 assists as a senior in high school (Won NCISSA State Championship title)</p></li><li><p>Named 2016 North Carolina Mr. Basketball, North Carolina Gatorade Player of the Year and All-USA Boys Basketball second team</p></li><li>Attended the University of Kentucky for one season (2016-17).</li></ul><h5>Olympic Experience</h5><ul><li>1-time Olympian; 1-time Olympic medalist (1 gold)</li><ul><li>Olympic Games Tokyo 2020, gold (Team - Men)</li></ul></ul><h5>Career Highlights</h5><ul><li>Participated in the 2019 USA Basketball Men’s World Cup Training camp Aug. 5-8 in Las Vegas, Nevada</li><li><p>Two-time NBA All-Star (2020, 2023), four-time NBA All-Defensive Second Team (2020-23)</p></li><li><p>Selected No. 14 overall in the 2017 NBA Draft by the Miami Heat</p></li><li>Has played for the Miami Heat for his entire career (7 seasons as of 2023)</li></ul>","6'9""",7/18/1997,27,Newark,NJ,University of Kentucky,University of Kentucky,1,0,0,Basketball,https://res.cloudinary.com/usopc-prod/image/upload/v1686923774/TeamUSA%20Assets/Migration/Athlete%20Profiles/Bam%20Adebayo/Adebayo_Bam.jpg,Head Shot,
bltf82f79b7109b34be,/profiles/nia-akins,Nia,Akins,Nia Akins,"<h5>Personal</h5><ul><li>Daughter of Nicol Hodges</li><li>Attended Rancho Bernardo High School</li><li>Graduated from UPenn School of Nursing</li></ul><h5>Career Highlights </h5><ul><li>1st - 2024 U.S. Track and Field Trials, 800m </li><li>3rd - 2024 U.S. Indoor Track and Field Championships, 800m</li><li>1st - 2023 U.S. Outdoor Track and Field Championships, 800m</li><li>1st - 2023 U.S. Indoor Track and Field Championships, 800m</li></ul>",,7/7/1998,26,San Diego,CA,University of Pennslyvania,University of Pennslyvania,0,0,0,Track and Field,https://res.cloudinary.com/usopc-prod/image/upload/v1720620353/Akins_Nia.jpg,"Nia Akins poses with a gold medal after competing in the women's 800 meter final on Day Four of the 2024 U.S. Olympic Team Track & Field Trials at Hayward Field on June 24, 2024 in Eugene, Oregon.",Getty Images
bltc754d97d80e1c7b3,/profiles/korbin-albert,Korbin,Albert,Korbin Albert,<h5>Personal</h5><ul><li>Represented the United States since U15</li><li>Reclassified collegiate class to play for the University of Notre Dame</li></ul><h5>Career Highlights</h5><ul><li>2023 - Midfielder for Paris Saint-Germain</li><li>2022 - Cleveland Ambassadors</li><li>2021 - Reserve for the Chicago Red Stars</li></ul>,"5'7""",10/13/2003,20,Grayslake,IL,University of Notre Dame,University of Notre Dame,0,0,0,Soccer,https://res.cloudinary.com/usopc-prod/image/upload/v1720038703/Albert_Korbin_Headshot24.jpg,"Korbin Albert #15 of United States at Dignity Health Sports Park on February 23, 2024 in Carson, California.",Getty Images
bltab6c3b555c2946a0,/profiles/jack-alexy,Jack,Alexy,Jack Alexy,"<h5>Personal</h5><ul><li><p>Son of Matthew &amp; Lynn Alexy. Has three siblings - Kate, Max and Rob</p></li><li>Mother played basketball at Notre Dame</li><li>Grandfather, William Ebben, played basketball for the NBA's Detroit Pistons</li><li>After swimming, he would like to get into commercial business and real estate</li><li>Hobbies include creating and enjoying art</li></ul><h5>World Championships Experience</h5><ul><li>Most recent: 2023 – gold (4 x 100m Medley Relay - Men), silver (100m Freestyle - Men, 4 x 100m Freestyle Relay - Mixed, 50m Freestyle - Men), bronze (4 x 100m Freestyle Relay - Men)</li><li>Years of participation: 100m Freestyle - Men 2023; 4 x 100m Freestyle Relay - Men 2023; 4 x 100m Freestyle Relay - Mixed 2023; 4 x 100m Medley Relay - Men 2023; 50m Freestyle - Men 2023</li><li>Medals: 5 (1 gold, 3 silver, 1 bronze)</li><ul><li>Gold – 2023 (4 x 100m Medley Relay - Men)</li><li>Silver – 2023 (100m Freestyle - Men, 4 x 100m Freestyle Relay - Mixed, 50m Freestyle - Men)</li><li>Bronze – 2023 (4 x 100m Freestyle Relay - Men)</li></ul></ul><h5>Career Highlights</h5><ul><li>World Junior Championships, Budapest, 2019 (4 x 100m Freestyle Relay - Men)</li></ul><h5>Olympic Experience</h5><ul><li>1-time Olympian; 1-time Olympic medalist (1 gold)</li><ul><li>Olympic Games Paris 2024, gold (4 x 100m Freestyle Relay - Men), 7th (100m Freestyle - Men)</li></ul></ul>","6'8""",1/19/2003,21,Morristown,NJ,University of California - Berkeley,"University of California, Berkeley",1,0,0,Swimming,https://res.cloudinary.com/usopc-prod/image/upload/v1718898171/TeamUSA%20Assets/Athlete%20Profiles/Jack%20Alexy%201129131/Alexy_J_thumbnail.jpg,Jack Alexy smiling,Getty Images
blt81fe0c7acba774aa,/profiles/cj-allen,CJ,Allen,CJ Allen,"<h5>Personal</h5><ul><li>Son of Jeffrey and Amy Allen</li><li>Has one brother, Corey</li><li>Co-leads bible studies for athletes and coaches</li><li>Is in the process of developing a YouTube channel</li><li>Cooking is a passion of his and he could see myself owning his own restaurant someday</li><li>Hobbies include cooking, camping and producing YouTube videos</li></ul><h5>World Championships Experience</h5><ul><li>Most recent: 2023 – 10th (400m Hurdles - Men)</li><li>Years of participation: 400m Hurdles - Men 2023</li><li>Top finish: 10th – 2023 (400m Hurdles - Men)</li></ul>","6'2""",2/14/1995,29,Pullman,WA,"North Mason High School (Belfair, Wash.) ‘13 Washington State University ‘18, Kinesiology and Psychology; LIFE University ’23, Chiropractic (D.C.)",Washington State University,0,0,0,Track and Field,https://res.cloudinary.com/usopc-prod/image/upload/v1720633051/Allen_CJ_HS.jpg,"CJ Allen of Team United States looks on ahead of competing in the Men's 400m Hurdles Semi-Final during day three of the World Athletics Championships Budapest 2023 at National Athletics Centre on August 21, 2023 in Budapest, Hungary.",Getty Images
bltd4ebc217ae13c66b,/profiles/valarie-allman-909758,Valarie,Allman,Valarie Allman,"<h5>Personal</h5><ul><li>Daughter of David and Lisa Allman</li><li>Has an older brother, Kevin</li><li>As an accomplished dancer, she took up track and field her freshman year as a jumper and sprinter</li><li>Began throwing discus so she could go to the annual spaghetti dinner that the throwers had every year</li><li>Raised mostly in Hershey, Pa</li><li>Co-valedictorian at Silver Creek High where she carried a weighted high school GPA of 4.4</li><li>A lover of ice cream, dance parties and dogs</li></ul><h5>Olympic Experience</h5><ul><li>1-time Olympian; 1-time Olympic medalist (1 gold)</li><ul><li>Olympic Games Tokyo 2020, gold (Discus Throw - Women)</li></ul></ul><h5>World Championships Experience</h5><ul><li>Most recent: 2023 – silver (Discus Throw - Women)</li><li>Years of participation: Discus Throw - Women 2017, 2019, 2022, 2023</li><li>Medals: 2 (1 silver, 1 bronze)</li><ul><li>Silver – 2023 (Discus Throw - Women)</li><li>Bronze – 2022 (Discus Throw - Women)</li></ul></ul>",,2/23/1995,29,Longmont,CO,"Stanford University '17, Product Design",Stanford University,1,0,0,Track and Field,https://res.cloudinary.com/usopc-prod/image/upload/v1679680234/TeamUSA%20Assets/Athlete%20Profiles/Valarie%20Allman%20909758/Allman_Valarie_150x250.jpg,Head Shot,
bltab9012ee40fb53da,/profiles/anita-alvarez-828944,Anita,Alvarez,Anita Alvarez,"<h5>Personal</h5><ul><li>She rode the elevator with Michael Phelps two times</li><li>She stepped on Michelle Obama's foot when she hugged her on a visit to the White House</li><li>She has put a nose clip on John Legend</li><li>Competed in 2012 U.S. Olympic Team Trials as a 14 year old, and she was there for 11:11 on 11/11/11</li><li>Her mom competed in the 1984 U.S. Olympic Trials with her duet and placed 7th</li><li>Her grandpa was in charge of all the off ice officials in the 1980 Olympic Games, and he was the time keeper of the 'Miracle on Ice' hockey game in Lake Placid, NY</li><li>Her dad has coached two Olympians but not in the sports they became Olympians in</li></ul><h5>Olympic Experience</h5><ul><li>2-time Olympian;</li><ul><li>Olympic Games Tokyo 2020, 13th (Duet - Women)</li><li>Olympic Games Rio de Janeiro 2016, 9th (Duet - Women)</li></ul></ul><h5>World Championships Experience</h5><ul><li>Most recent: 2022 – 6th (Solo Technical Routine - Women), 7th (Duet Technical Routine - Women, Solo Free Routine - Women), 9th (Team Free Routine - Women)</li><li>Years of participation: Duet Technical Routine - Women 2015, 2017, 2019, 2022; Solo Free Routine - Women 2019, 2022; Solo Technical Routine - Women 2022; Team Free Routine - Women 2015, 2017, 2019, 2022; Duet Free Routine - Women 2015, 2017, 2019; Team Technical Routine - Women 2015</li><li>Top finish: 6th – 2022 (Solo Technical Routine - Women)</li></ul>",5'8,12/2/1996,27,Buffalo,NY,U.S. Performance Academy,U.S. Performance Academy,0,0,0,Artistic Swimming,https://res.cloudinary.com/usopc-prod/image/upload/v1683140555/NGB%20Artistic%20Swimming/Migration/Athlete%20Profiles/Anita%20Alvarez%20828944/Anita.jpg,Anita Headshot,
blt126f2493c7218a61,/profiles/riley-amos,Riley,Amos,Riley Amos,"<h5>Personal</h5><ul><li>Started riding mountain bikes in second grade with a club in Colorado</li><li><span>Competed in the NICA high school mountain bike league and won four USA Cycling national titles as a junior</span></li><li>Secured his first U23 XCO World Cup win in 2021</li></ul><h5>Career Highlights</h5><ul><li>2024 UCI Mountain Bike World Cup U23, gold </li><li>2024 American Continental Championships, gold (cross-country Olympic, cross-country short circuit, cross-country team relay)</li><li>2023 UCI Cycling U23 World Championships, 4th</li></ul><h5>Olympic Experience</h5><ul><li>1-time Olympian;</li><ul><li>Olympic Games Paris 2024, 7th (Cross Country - Men)</li></ul></ul><h5>World Championships Experience</h5><ul><li>Most recent: 2023 – 4th (Cross Country - Men), 8th (Cross Country Team Relay - Mixed)</li><li>Years of participation: Cross Country - Men 2019, 2020, 2021, 2022, 2023; Cross Country Team Relay - Mixed 2019, 2020, 2021, 2022, 2023</li><li>Medals: 3 (2 silver, 1 bronze)</li><ul><li>Silver – 2021 (Cross Country Team Relay - Mixed); 2019 (Cross Country Team Relay - Mixed)</li><li>Bronze – 2022 (Cross Country Team Relay - Mixed)</li></ul></ul>","6'0""",3/2/2002,22,Denver,CO,,,0,0,0,Cycling,,,
